No.,Year,Prefecture,Prefecture total production(m),production change,public affair(m),public change,education(m),educ change,health and social welfare(m),social change,Received,Received change,Deduction,Deduction change,Residents Total Income(m),Income change,labornum(t),workinghour(per month),labor input (per month),labor change,Company stock(b),stock change,Deflator (2011 based)
36,21,Tokushima,"2,755,432",-0.0078,"169,582",0.0182,"142,280",-0.014,"257,337",0.0465,"68,888,993",-0.1133,"4,537,000",-0.0955,"2,807,100",-0.0122,221.4,148.7,32922.18,-0.0362,3732.3,-0.0086,1.025621028
36,22,Tokushima,"2,880,605",0.0454,"168,532",-0.0062,"147,074",0.0337,"263,319",0.0232,"90,925,037",0.3199,"5,237,000",0.1543,"2,949,006",0.0506,218.2,148.7,32446.3,-0.0145,3681.1,-0.0137,1.011305611
36,23,Tokushima,"2,921,007",0.014,"172,501",0.0236,"152,375",0.036,"265,329",0.0076,"102,191,663",0.1239,"60,908,000",10.6303,"2,978,416",0.01,219.9,146.4,32193.4,-0.0078,3857,0.0478,1.001686405
36,24,Tokushima,"2,880,662",-0.0138,"166,402",-0.0354,"154,497",0.0139,"269,478",0.0156,"93,625,067",-0.0838,"11,415,000",-0.8126,"2,919,709",-0.0197,222.7,151.4,33716.8,0.0473,3851,-0.0015,0.999305021
36,25,Tokushima,"2,979,159",0.0342,"165,087",-0.0079,"155,477",0.0063,"273,987",0.0167,"106,075,674",0.133,"16,107,000",0.411,"3,013,046",0.032,221.9,151.1,33529.1,-0.0056,3889.1,0.0099,1.005518
36,26,Tokushima,"2,996,436",0.0058,"166,955",0.0113,"159,537",0.0261,"271,265",-0.0099,"116,700,315",0.1002,"57,662,000",2.5799,"3,036,264",0.0077,223.6,151.5,33875.4,0.0103,3934.4,0.0117,1.021651055
36,27,Tokushima,"3,015,136",0.0062,"168,678",0.0103,"164,230",0.0294,"276,717",0.0201,"249,534,474",1.1383,"305,732,000",4.3021,"3,066,835",0.0101,226,151.4,34216.4,0.0101,4012.1,0.0198,1.026816037
36,28,Tokushima,"3,007,628",-0.0025,"164,993",-0.0218,"162,675",-0.0095,"278,593",0.0068,"588,796,158",1.3596,"175,864,210",-0.4248,"3,049,957",-0.0055,228.1,151.2,34488.7,0.008,4026.8,0.0036,1.021772972
36,29,Tokushima,"3,072,227",0.0215,"166,319",0.008,"159,825",-0.0175,"276,002",-0.0093,"804,075,240",0.3656,"315,078,302",0.7916,"3,124,516",0.0244,227.9,150.9,34390.1,-0.0029,,,1.027555581
37,20,Kagawa,"3,574,849",,"191,102",,"158,569",,"316,901",,"77,276,768",,"7,906,000",,"3,581,168",,332.2,154.7,51391.34,,4561.9,,1.036003479
37,21,Kagawa,"3,582,587",0.0022,"191,083",-0.0001,"161,680",0.0196,"323,598",0.0211,"38,985,635",-0.4955,"7,139,000",-0.097,"3,587,834",0.0019,345.5,149.9,51790.45,0.0078,4493.9,-0.0149,1.02383864
37,22,Kagawa,"3,543,249",-0.011,"195,178",0.0214,"164,505",0.0175,"332,799",0.0284,"48,808,295",0.252,"7,363,000",0.0314,"3,567,361",-0.0057,341,151.2,51559.2,-0.0045,4413.4,-0.0179,1.015360196
37,23,Kagawa,"3,739,316",0.0553,"191,141",-0.0207,"165,281",0.0047,"333,033",0.0007,"43,695,455",-0.1048,"85,756,000",10.6469,"3,758,092",0.0535,342.1,151.9,51965,0.0079,4342.8,-0.016,0.999829381
37,24,Kagawa,"3,753,309",0.0037,"184,586",-0.0343,"166,268",0.006,"338,978",0.0179,"67,284,727",0.5399,"16,573,000",-0.8067,"3,756,287",-0.0005,341.1,154.5,52700,0.0141,4370.3,0.0063,0.989496468
37,25,Kagawa,"3,702,589",-0.0135,"181,603",-0.0162,"166,761",0.003,"343,770",0.0141,"45,336,691",-0.3262,"18,786,000",0.1335,"3,729,949",-0.007,340.5,152.6,51960.3,-0.014,4375.6,0.0012,0.983441856
