No.,Year,Prefecture,Prefecture total production(m),production change,public affair(m),public change,education(m),educ change,health and social welfare(m),social change,Received,Received change,Deduction,Deduction change,Residents Total Income(m),Income change,labornum(t),workinghour(per month),labor input (per month),labor change,Company stock(b),stock change,Deflator (2011 based)
42,22,Nagasaki,"4,265,912",0.025,"302,194",-0.0233,"297,636",0.0223,"487,082",0.0303,"112,611,533",0.4361,"11,217,000",1.0904,"4,404,806",0.0284,407.3,160.6,65412.4,-0.0088,5444.4,-0.0147,1.013262111
42,23,Nagasaki,"4,275,609",0.0023,"304,056",0.0062,"302,152",0.0152,"489,343",0.0046,"83,094,652",-0.2621,"96,020,000",7.5602,"4,418,301",0.0031,409.3,156.3,63973.6,-0.022,5377,-0.0124,1.001303908
42,24,Nagasaki,"4,200,801",-0.0175,"303,052",-0.0033,"304,307",0.0071,"501,205",0.0242,"179,673,039",1.1623,"23,130,000",-0.7591,"4,312,825",-0.0239,412.5,152,62700,-0.0199,5319.3,-0.0107,0.999632451
42,25,Nagasaki,"4,201,490",0.0002,"295,818",-0.0239,"293,800",-0.0345,"507,820",0.0132,"134,418,218",-0.2519,"27,177,000",0.175,"4,316,440",0.0008,415.2,149.9,62238.5,-0.0074,5295.2,-0.0045,0.999529691
42,26,Nagasaki,"4,027,613",-0.0414,"291,869",-0.0133,"296,290",0.0085,"496,305",-0.0227,"1,736,865,438",11.9214,"88,551,000",2.2583,"4,170,110",-0.0339,416.9,149.5,62326.6,0.0014,5270.8,-0.0046,1.01877092
42,27,Nagasaki,"4,350,509",0.0802,"297,014",0.0176,"298,277",0.0067,"516,847",0.0414,"7,990,242,751",3.6004,"447,810,000",4.0571,"4,451,566",0.0675,416,153.1,63689.6,0.0219,5274.1,0.0006,1.031895808
42,28,Nagasaki,"4,408,061",0.0132,"290,144",-0.0231,"294,356",-0.0131,"518,359",0.0029,"8,024,259,694",0.0043,"258,502,197",-0.4227,"4,498,436",0.0105,419.4,152.1,63790.7,0.0016,5269.8,-0.0008,1.036487018
42,29,Nagasaki,"4,399,174",-0.002,"293,022",0.0099,"295,165",0.0027,"516,112",-0.0043,"8,026,722,041",0.0003,"461,114,189",0.7838,"4,529,517",0.0069,419.1,152.1,63745.1,-0.0007,,,1.040138671
43,20,Kumamoto,"5,254,813",,"397,305",,"257,948",,"531,941",,"64,964,518",,"9,006,000",,"5,477,794",,510.5,153.5,78361.75,,6647.2,,1.033502619
43,21,Kumamoto,"5,170,032",-0.0161,"405,624",0.0209,"251,087",-0.0266,"558,225",0.0494,"100,798,749",0.5516,"19,285,000",1.1414,"5,390,401",-0.016,536.5,149.6,80260.4,0.0242,6554.5,-0.0139,1.027929421
43,22,Kumamoto,"5,331,930",0.0313,"398,342",-0.018,"259,004",0.0315,"577,685",0.0349,"91,928,113",-0.088,"14,658,000",-0.2399,"5,531,335",0.0261,530.4,153.2,81257.3,0.0124,6419.1,-0.0207,1.015489138
43,23,Kumamoto,"5,493,247",0.0303,"404,367",0.0151,"262,256",0.0126,"581,366",0.0064,"97,984,582",0.0659,"119,586,000",7.1584,"5,697,641",0.0301,529.6,153.3,81187.7,-0.0009,6352.4,-0.0104,1.000259409
43,24,Kumamoto,"5,469,969",-0.0042,"394,285",-0.0249,"267,101",0.0185,"595,048",0.0235,"120,333,611",0.2281,"28,363,000",-0.7628,"5,650,854",-0.0082,536,153.9,82490.4,0.016,6366.8,0.0023,0.99869853
43,25,Kumamoto,"5,513,771",0.008,"382,920",-0.0288,"266,735",-0.0014,"610,460",0.0259,"132,998,833",0.1053,"26,642,000",-0.0607,"5,726,742",0.0134,538.4,152.1,81890.6,-0.0073,6653.3,0.045,0.997437326
43,26,Kumamoto,"5,443,433",-0.0128,"392,131",0.0241,"268,692",0.0073,"604,032",-0.0105,"246,764,663",0.8554,"84,862,000",2.1853,"5,671,952",-0.0096,539,152.3,82089.7,0.0024,6663,0.0014,1.015165613
43,27,Kumamoto,"5,489,914",0.0085,"389,155",-0.0076,"272,308",0.0135,"625,068",0.0348,"1,144,182,355",3.6367,"484,652,000",4.7111,"5,703,322",0.0055,540.2,147.5,79679.5,-0.0294,6670.7,0.0012,1.03011814
43,28,Kumamoto,"5,690,620",0.0366,"404,497",0.0394,"270,551",-0.0065,"626,583",0.0024,"7,771,735,370",5.7924,"284,340,757",-0.4133,"5,866,057",0.0285,543.4,146.9,79825.5,0.0018,6669.7,-0.0002,1.035364512
43,29,Kumamoto,"5,847,795",0.0276,"395,848",-0.0214,"269,409",-0.0042,"629,969",0.0054,"5,196,316,530",-0.3314,"466,923,659",0.6421,"6,026,347",0.0273,544.8,147.9,80575.9,0.0094,,,1.036216899
44,20,Oita,"4,106,788",,"261,810",,"169,478",,"357,106",,"27,009,473",,"3,558,000",,"4,177,467",,369.1,158.1,58354.71,,6613.8,,1.048187781
44,21,Oita,"3,831,854",-0.0669,"262,652",0.0032,"168,423",-0.0062,"378,377",0.0596,"38,950,225",0.4421,"6,004,000",0.6875,"3,955,998",-0.053,343.5,149.9,51490.65,-0.1176,6584,-0.0045,1.039711586
44,22,Oita,"4,137,021",0.0796,"257,560",-0.0194,"172,201",0.0224,"389,465",0.0293,"34,879,384",-0.1045,"7,587,000",0.2637,"4,233,979",0.0703,343.2,152.9,52475.3,0.0191,6753.9,0.0258,1.023068532
44,23,Oita,"4,179,464",0.0103,"255,026",-0.0098,"177,450",0.0305,"390,436",0.0025,"41,527,860",0.1906,"95,434,000",11.5786,"4,290,279",0.0133,340.2,153.3,52152.7,-0.0061,7007.6,0.0376,0.999064234
44,24,Oita,"4,180,523",0.0003,"251,050",-0.0156,"175,630",-0.0103,"398,198",0.0199,"85,018,851",1.0473,"19,931,000",-0.7912,"4,255,967",-0.008,380.7,151,57485.7,0.1023,7195.6,0.0268,0.993062112
44,25,Oita,"4,224,902",0.0106,"240,128",-0.0435,"170,426",-0.0296,"404,359",0.0155,"117,307,690",0.3798,"18,488,000",-0.0724,"4,311,928",0.0131,375.6,150.8,56640.5,-0.0147,7200.5,0.0007,0.985118708
44,26,Oita,"4,198,431",-0.0063,"241,643",0.0063,"168,643",-0.0105,"396,089",-0.0205,"208,316,767",0.7758,"66,417,000",2.5924,"4,291,601",-0.0047,384.7,149,57320.3,0.012,7478.4,0.0386,1.011382824
44,27,Oita,"4,225,780",0.0065,"245,334",0.0153,"174,741",0.0362,"408,380",0.031,"1,945,609,718",8.3397,"354,095,000",4.3314,"4,316,996",0.0059,390.5,147.5,57598.8,0.0049,7553.1,0.01,1.042755894
44,28,Oita,"4,151,627",-0.0175,"241,395",-0.0161,"178,167",0.0196,"410,550",0.0053,"3,977,663,861",1.0444,"207,283,049",-0.4146,"4,241,525",-0.0175,392.2,149.5,58633.9,0.018,8204.5,0.0862,1.046859701
44,29,Oita,"4,296,580",0.0349,"242,253",0.0036,"174,246",-0.022,"410,187",-0.0009,"6,026,344,902",0.515,"380,356,046",0.835,"4,379,039",0.0324,393,151.5,59539.5,0.0154,,,1.049663453
45,20,Miyazaki,"3,447,110",,"237,811",,"178,524",,"355,513",,"39,606,894",,"5,294,000",,"3,427,390",,326.4,157.7,51473.28,,4622.4,,1.02348344
45,21,Miyazaki,"3,349,443",-0.0283,"240,928",0.0131,"181,619",0.0173,"363,870",0.0235,"39,101,052",-0.0128,"5,336,000",0.0079,"3,376,618",-0.0148,333.4,153.4,51143.56,-0.0064,4594.3,-0.0061,1.019588929
45,22,Miyazaki,"3,298,678",-0.0152,"234,209",-0.0279,"186,596",0.0274,"376,558",0.0349,"207,423,201",4.3048,"16,586,000",2.1083,"3,338,623",-0.0113,327,153.1,50063.7,-0.0211,4931,0.0733,1.012480757
45,23,Miyazaki,"3,401,011",0.031,"238,978",0.0204,"188,350",0.0094,"381,534",0.0132,"61,713,239",-0.7025,"57,651,000",2.4759,"3,445,608",0.032,325.2,152.4,49560.5,-0.0101,5162.5,0.047,1.001049394
45,24,Miyazaki,"3,416,295",0.0045,"230,594",-0.0351,"188,795",0.0024,"388,481",0.0182,"70,495,439",0.1423,"9,872,000",-0.8288,"3,460,254",0.0043,325,151,49075,-0.0098,5375.7,0.0413,0.99824898
45,25,Miyazaki,"3,520,254",0.0304,"231,194",0.0026,"186,673",-0.0112,"395,821",0.0189,"328,344,173",3.6577,"12,254,000",0.2413,"3,592,554",0.0382,325.9,150.4,49015.4,-0.0012,5296.5,-0.0147,0.993795618
45,26,Miyazaki,"3,521,135",0.0003,"233,602",0.0104,"187,268",0.0032,"395,576",-0.0006,"2,281,748,288",5.9493,"57,633,000",3.7032,"3,598,614",0.0017,325.2,150.6,48975.1,-0.0008,5384.3,0.0166,1.009698577
45,27,Miyazaki,"3,552,362",0.0089,"242,734",0.0391,"190,463",0.0171,"406,875",0.0286,"10,065,534,394",3.4113,"284,372,000",3.9342,"3,638,524",0.0111,317,153.7,48722.9,-0.0051,5942.7,0.1037,1.026089683
45,28,Miyazaki,"3,586,005",0.0095,"243,751",0.0042,"189,431",-0.0054,"410,584",0.0091,"19,896,977,997",0.9767,"173,005,966",-0.3916,"3,667,420",0.0079,313.3,150.9,47277,-0.0297,6295.5,0.0594,1.035449755
45,29,Miyazaki,"3,630,513",0.0124,"250,012",0.0257,"193,736",0.0227,"409,676",-0.0022,"24,026,366,022",0.2075,"322,841,316",0.8661,"3,724,608",0.0156,314.8,148.7,46810.8,-0.0099,,,1.036469226
46,20,Kagoshima,"4,955,866",,"379,255",,"296,718",,"487,459",,"183,038,235",,"5,721,000",,"5,031,501",,497,150.6,74848.2,,6440.4,,1.02004917
46,21,Kagoshima,"4,778,460",-0.0358,"342,403",-0.0972,"301,976",0.0177,"541,703",0.1113,"195,874,028",0.0701,"4,862,000",-0.1501,"4,881,379",-0.0298,480.7,148.8,71528.16,-0.0444,6355,-0.0133,1.018593438
46,22,Kagoshima,"4,811,692",0.007,"337,452",-0.0145,"301,312",-0.0022,"552,673",0.0203,"199,170,801",0.0168,"9,779,000",1.0113,"4,938,900",0.0118,471.1,148.9,70146.8,-0.0193,6267,-0.0139,1.012161418
46,23,Kagoshima,"4,967,902",0.0325,"334,377",-0.0091,"306,402",0.0169,"562,074",0.017,"209,299,821",0.0509,"87,767,000",7.975,"5,095,061",0.0316,469.5,150.7,70753.7,0.0087,6234.1,-0.0052,1.00159665
46,24,Kagoshima,"4,890,013",-0.0157,"329,802",-0.0137,"308,308",0.0062,"573,268",0.0199,"207,419,683",-0.009,"18,984,000",-0.7837,"5,005,602",-0.0176,485.8,151.8,73744.4,0.0423,6223.3,-0.0017,0.99840573
46,25,Kagoshima,"5,033,767",0.0294,"325,126",-0.0142,"304,663",-0.0118,"583,468",0.0178,"259,108,307",0.2492,"24,849,000",0.3089,"5,156,231",0.0301,488,151,73688,-0.0008,6230.1,0.0011,0.992916835
46,26,Kagoshima,"5,017,397",-0.0033,"329,581",0.0137,"305,795",0.0037,"579,415",-0.0069,"586,400,600",1.2631,"85,537,000",2.4423,"5,153,278",-0.0006,481.3,150,72195,-0.0203,6251.3,0.0034,1.010778298
46,27,Kagoshima,"5,116,496",0.0198,"330,683",0.0033,"309,402",0.0118,"596,614",0.0297,"7,245,739,158",11.3563,"453,530,000",4.3021,"5,231,205",0.0151,475.6,148,70388.8,-0.025,6329.7,0.0125,1.028321726
46,28,Kagoshima,"5,145,372",0.0056,"325,106",-0.0169,"311,914",0.0081,"598,053",0.0024,"13,005,311,977",0.7949,"261,530,942",-0.4233,"5,221,087",-0.0019,470.4,149.8,70465.9,0.0011,6381.7,0.0082,1.038095205
46,29,Kagoshima,"5,285,299",0.0272,"337,337",0.0376,"314,737",0.0091,"598,846",0.0013,"17,430,413,174",0.3403,"470,034,021",0.7972,"5,368,822",0.0283,472.6,148,69944.8,-0.0074,,,1.041465961
47,20,Okinawa,"3,561,901",,"377,055",,"196,041",,"344,704",,"61,806,045",,"9,947,000",,"3,721,622",,371.2,152,56422.4,,4137.6,,1.017829243
47,21,Okinawa,"3,583,573",0.0061,"383,613",0.0174,"203,316",0.0371,"361,827",0.0497,"57,609,096",-0.0679,"12,320,000",0.2386,"3,766,637",0.0121,387.7,153,59318.1,0.0513,4103,-0.0084,1.015238981
47,22,Okinawa,"3,620,659",0.0103,"385,124",0.0039,"202,669",-0.0032,"376,528",0.0406,"124,768,194",1.1658,"15,374,000",0.2479,"3,829,330",0.0166,389.8,152.1,59288.6,-0.0005,4088.2,-0.0036,1.01034563
47,23,Okinawa,"3,687,797",0.0185,"381,089",-0.0105,"209,067",0.0316,"379,237",0.0072,"119,722,657",-0.0404,"101,572,000",5.6067,"3,892,765",0.0166,391.6,150.8,59053.3,-0.004,4133.8,0.0111,1.001297523
47,24,Okinawa,"3,721,224",0.0091,"383,637",0.0067,"215,914",0.0328,"392,409",0.0347,"126,989,450",0.0607,"27,444,000",-0.7298,"3,910,016",0.0044,394.1,151.5,59706.2,0.0111,4165.1,0.0076,0.996263864
47,25,Okinawa,"3,875,634",0.0415,"376,448",-0.0187,"216,918",0.0046,"404,080",0.0297,"133,509,938",0.0513,"29,374,000",0.0703,"4,083,221",0.0443,396.1,150.9,59771.5,0.0011,4230.2,0.0156,0.989911328
47,26,Okinawa,"3,861,174",-0.0037,"379,879",0.0091,"221,472",0.021,"399,198",-0.0121,"215,137,761",0.6114,"76,522,000",1.6051,"4,088,215",0.0012,398.7,148,59007.6,-0.0128,4305.7,0.0179,1.01329492
47,27,Okinawa,"4,071,012",0.0543,"385,266",0.0142,"227,425",0.0269,"416,022",0.0421,"961,771,178",3.4705,"384,148,000",4.0201,"4,293,772",0.0503,403,147.6,59482.8,0.0081,4385.9,0.0186,1.025475729
47,28,Okinawa,"4,203,182",0.0325,"389,661",0.0114,"229,438",0.0089,"423,216",0.0173,"1,609,717,751",0.6737,"219,952,187",-0.4274,"4,447,226",0.0357,408.2,149.3,60944.3,0.0246,4480.1,0.0215,1.033788687
47,29,Okinawa,"4,266,444",0.0151,"393,279",0.0093,"234,647",0.0227,"424,803",0.0037,"2,584,097,049",0.6053,"394,715,418",0.7946,"4,517,896",0.0159,414.3,148.8,61647.8,0.0115,,,1.03460704
